no,eclipse,ours
814,118,187559
815,80,386
816,106,390463
817,82,235172
818,78,179170
819,115,76647
820,149,206256
821,82,2272
822,62,24061
823,113,193
824,91,9916
825,66,19057
826,96,198506
827,67,3370
828,66,140637
829,98,141333
830,100,5898
831,96,171
832,76,149
833,96,140
834,102,102
835,98,98
836,98,51032
837,87,87
838,145,145
839,97,50285
840,80,261
841,96,96
842,67,122560
843,96,96
844,129,21998
845,74,1281
846,102,302
847,97,97
848,74,60097
849,81,81
850,132,21974
851,81,81
852,134,190
853,103,113
854,103,82
855,100,86
856,72,86
857,110,93
858,78,71
859,94,55
860,74,110
861,97,62
862,97,297
863,120,115
864,96,113
865,108,114
866,79,118
867,106,79
868,93,139
869,80,176
870,72,123
871,99,124
872,74,93
873,103,67
874,103,11343
875,80,507
876,79,783
877,166,116
878,98,881
879,99,86
880,66,59
881,99,169
882,94,189
883,97,248
884,98,129
885,104,140
886,69,182
887,99,305
888,93,84
889,93,59
890,71,378
891,68,387
892,93,93
893,93,165
894,97,85
895,66,1732
896,88,88
897,123,188
898,94,94
899,81,81
900,101,101
901,122,1124
902,71,71
903,69,185
904,80,43
905,94,84
906,95,166
907,76,132
908,100,52
909,88,206
910,97,383
911,111,111
912,105,132
913,108,238
914,114,181
915,117,76
916,104,78
917,78,75
918,134,134
919,112,105
920,79,76
921,121,654
922,111,111
923,118,70
924,79,702
925,98,4447
926,74,74
927,98,1567
928,116,130
929,121,72
930,80,89
931,60,42
932,60,73
933,64,30
934,62,89
935,60,66
936,106,645
937,102,147
938,113,198
939,82,277
940,109,769
941,95,302
942,134,57
943,105,1678
944,105,213
945,108,204
946,114,248
947,108,208
948,85,177
949,107,248
950,89,382
951,74,220
952,80,80
953,114,122
954,109,140
955,108,155
956,113,230
957,93,246
958,79,172
959,113,251
960,117,212
961,85,122
962,87,294
963,113,287
964,116,192
965,91,253
966,105,108
967,103,112
968,116,134
969,118,61
970,80,80
971,100,136
972,112,112
973,80,185
974,119,63
975,67,67
976,95,100
977,98,155
978,70,130
979,73,136
980,75,72
981,117,197
982,104,148
983,83,161
984,113,155
985,116,171
986,87,257
987,107,174
988,113,172
989,114,182
990,118,320
991,124,285
992,115,188
993,109,237
994,105,160
995,109,247
996,101,73
997,89,88
998,108,191
999,142,226
1000,112,150
1001,101,89
1002,119,92
1003,119,119
1004,114,105
1005,124,1644
1006,118,118
1007,120,4359
1008,86,89
1009,109,109
1010,98,91
1011,111,91
1012,102,281
1013,131,107
1014,128,128
1015,126,93
1016,120,97
1017,119,119
1018,117,117
1019,115,92
1020,119,99
1021,130,91
1022,121,440
1023,106,169
1024,116,116
1025,109,90
1026,105,89
1027,104,104
1028,124,124
1029,117,118
1030,107,107
1031,114,114
1032,118,343
1033,119,119
1034,124,124
1035,122,259
1036,115,150
1037,89,89
1038,105,105
1039,137,1046
1040,120,93
1041,132,132
1042,114,114
1043,117,117
1044,114,205
1045,118,118
1046,123,147
1047,119,90
1048,89,297
1049,90,89
1050,105,89
1051,123,87
1052,126,154
1053,141,296
1054,95,247
1055,128,166
1056,112,147
1057,89,149
1058,108,44
1059,71,105
1060,80,89
1061,72,146
1062,107,41
1063,76,102
1064,116,197
1065,110,125
