no,eclipse,ours
982,93,93
983,81,81
984,143,44
985,80,8413
986,101,101
987,71,71
988,126,5547
989,97,8427
990,76,76
991,121,45
992,98,98
993,78,78
994,99,10953
995,129,2731
996,64,5554
997,104,8408
998,103,103
999,66,65
1000,108,50
1001,107,65
1002,95,110
1003,79,84
1004,73,105
1005,66,96
1006,66,99
1007,73,99
1008,73,40
1009,74,38
1010,107,95
1011,79,62
1012,103,80
1013,98,87
1014,67,176
1015,95,196
1016,77,2860
1017,63,117
1018,110,144
1019,97,108
1020,96,109
1021,87,106
1022,90,105
1023,67,2868
1024,111,49
1025,106,56
1026,82,82
1027,92,45
1028,73,2872
1029,76,139
1030,114,55
1031,85,91
1032,68,282
1033,76,94
1034,99,93
1035,98,287
1036,86,97
1037,79,53
1038,107,27
1039,71,26
1040,94,165
1041,84,30
1042,74,74
1043,88,106
1044,60,126
1045,109,35
1046,87,68
1047,93,75
1048,127,68
1049,93,63
1050,67,80
1051,127,127
1052,146,599
1053,113,113
1054,89,114
1055,117,117
1056,101,101
1057,79,98
1058,138,138
1059,112,112
1060,102,102
1061,97,97
1062,112,112
1063,109,109
1064,104,96
1065,107,96
1066,116,116
1067,110,623
1068,99,99
1069,105,107
1070,94,114
1071,107,247
1072,121,196
1073,105,105
1074,114,184
1075,86,86
1076,122,68
1077,128,128
1078,121,121
1079,82,82
1080,96,96
1081,130,130
1082,93,93
1083,156,156
1084,117,162
1085,123,80
1086,81,81
1087,119,146
1088,112,134
1089,113,113
1090,112,121
1091,130,130
1092,128,109
1093,105,71
1094,151,151
1095,124,289
1096,140,87
1097,143,143
1098,143,143
1099,132,132
1100,134,134
1101,139,139
1102,135,135
1103,130,223
1104,141,141
1105,137,171
1106,147,147
1107,121,244
1108,127,98
1109,161,161
1110,139,208
1111,142,1084
1112,126,126
1113,137,137
1114,149,149
1115,130,184
1116,138,138
1117,135,524
1118,131,528
1119,131,549
1120,134,465
1121,139,581
1122,118,553
1123,134,560
1124,144,192
1125,118,554
1126,134,522
1127,118,145
1128,99,142
1129,120,120
1130,103,103
1131,100,75
1132,109,109
1133,135,159
1134,82,82
1135,123,182
1136,86,86
1137,95,92
1138,106,106
1139,139,139
1140,107,107
1141,115,115
1142,107,107
1143,111,111
1144,108,77
1145,81,76
1146,76,76
1147,111,111
1148,130,97
1149,98,42
1150,76,87
1151,127,32
1152,92,53
1153,90,50
1154,102,132
1155,101,145
1156,112,63
1157,102,102
1158,94,95
1159,117,60
1160,69,18
1161,108,17
1162,100,17
1163,118,67
1164,101,89
1165,84,117
1166,79,72
1167,128,32
1168,100,35
1169,106,106
1170,73,50
1171,102,34
1172,102,33
1173,64,36
1174,77,151
1175,79,79
1176,92,92
1177,117,117
1178,78,78
1179,129,435
1180,77,77
1181,118,118
1182,65,65
1183,101,27
1184,95,95
1185,87,87
1186,117,117
1187,65,244
1188,101,410
1189,89,89
1190,76,76
1191,93,93
1192,116,414
1193,84,413
1194,84,46
1195,90,45
1196,77,45
1197,127,48
1198,108,47
1199,106,47
1200,116,45
1201,109,49
1202,104,49
1203,89,48
1204,105,47
1205,93,46
1206,111,46
1207,82,46
1208,110,45
1209,108,47
1210,113,52
1211,120,46
1212,103,48
1213,113,48
1214,104,47
1215,110,48
1216,121,48
1217,109,48
1218,106,47
1219,77,77
1220,91,69
1221,67,67
1222,95,95
1223,125,125
1224,106,34
1225,79,79
1226,94,44
1227,73,42
1228,69,41
1229,108,42
1230,81,81
1231,94,94
1232,95,43
1233,92,33
1234,81,33
1235,111,33
1236,83,32
1237,73,32
1238,103,103
1239,103,103
1240,104,104
1241,104,64
1242,106,86
1243,88,77
1244,68,98
1245,74,74
1246,72,165
1247,67,36
1248,112,37
1249,64,36
1250,129,44
1251,96,35
1252,94,69
1253,83,46
1254,132,53
1255,157,160
1256,68,74
1257,66,23
1258,63,23
1259,71,77
1260,70,106
1261,67,87
1262,70,96
1263,62,156
1264,65,185
1265,96,76
1266,89,21
1267,115,163
1268,120,150
1269,112,148
1270,96,144
1271,125,5397
1272,123,71
1273,126,5348
1274,119,2667
1275,96,424
1276,119,422
1277,128,95
1278,124,96
1279,117,163
1280,130,283
1281,121,363
1282,127,98
1283,131,96
1284,131,179
1285,126,426
1286,130,277
1287,133,117
1288,126,119
1289,132,121
1290,119,226
1291,114,140
1292,119,118
1293,139,162
1294,124,296
1295,130,146
1296,141,178
1297,133,135
1298,122,180
1299,123,134
1300,117,179
1301,139,132
1302,129,196
1303,108,175
1304,134,134
1305,139,134
1306,126,190
1307,117,170
1308,111,394
1309,117,117
1310,118,397
1311,89,89
1312,130,168
1313,90,152
1314,114,67
1315,84,1519
1316,79,79
1317,113,113
1318,141,50
1319,75,47
1320,140,140
1321,111,69
1322,112,332
1323,115,115
1324,81,286
1325,92,69
1326,88,70
1327,115,68
1328,93,136
1329,112,862
1330,117,139
1331,85,71
1332,108,70
1333,96,624
1334,74,331
1335,121,121
1336,109,102
1337,117,102
1338,116,73
1339,83,641
1340,87,626
1341,108,108
1342,98,71
1343,81,291
1344,87,68
1345,116,73
1346,78,142
1347,110,156
1348,112,32
1349,109,37
1350,74,30
1351,88,88
1352,104,104
1353,103,103
1354,155,155
1355,127,101
1356,119,119
1357,117,105
1358,127,127
1359,123,123
1360,125,359
1361,127,357
1362,128,1263
1363,128,1308
1364,122,1014
1365,121,1002
1366,131,103
1367,105,618
1368,127,589
1369,130,489
1370,131,709
1371,126,126
1372,120,100
1373,131,102
1374,137,137
1375,120,102
1376,129,155
1377,124,175
1378,121,103
1379,139,109
1380,79,17
1381,92,17
1382,78,45
1383,137,47
1384,139,152
1385,129,127
1386,129,1114
1387,145,107
1388,139,1681
1389,124,451
1390,139,1220
1391,127,127
1392,123,1144
1393,130,1114
1394,124,1670
1395,121,121
1396,135,1039
1397,131,130
1398,145,127
1399,132,232
1400,131,131
1401,161,161
1402,126,126
1403,127,127
1404,106,106
1405,150,150
1406,123,116
1407,135,117
1408,126,126
1409,132,204
