no,eclipse,ours
1647,83,78
1648,132,2206
1649,140,146
1650,138,704
1651,145,160
1652,106,120
1653,156,351
1654,127,463
1655,141,4349
1656,143,398
1657,132,287
1658,150,7064
1659,141,2532
1660,143,507
1661,143,88
1662,148,91
1663,134,1583
1664,146,804
1665,153,362
1666,142,2042
1667,150,356
1668,140,2090
1669,138,455
1670,148,93
1671,169,312
1672,144,15
1673,119,13
1674,90,715
1675,117,3332
1676,134,2981
1677,130,13
1678,93,12
1679,88,13
1680,160,170
1681,122,254
1682,127,228
1683,134,223
1684,117,117
1685,80,80
1686,104,104
1687,101,101
1688,137,137
1689,115,115
1690,82,82
1691,118,118
1692,112,112
1693,139,139
1694,117,117
1695,123,48
1696,103,40
1697,120,96
1698,114,721
1699,130,696
1700,121,361
1701,132,206
1702,142,211
1703,109,756
1704,95,202
1705,136,418
1706,131,405
1707,141,139
1708,168,1761
1709,127,56
1710,104,131
1711,106,58
1712,140,70
1713,101,124
1714,103,211
1715,98,3749
1716,131,188
1717,128,87
1718,126,123
1719,152,70
1720,139,341
1721,147,69
1722,98,1536
1723,121,178
1724,114,313
1725,141,128
1726,107,146
1727,110,122
1728,133,234
1729,137,160
1730,143,86
1731,149,141
1732,134,87
1733,129,773
1734,127,410
1735,150,363
1736,130,470
1737,135,316
1738,100,485
1739,128,469
1740,136,113
1741,135,302
1742,108,833
1743,130,653
1744,107,135
1745,88,838
1746,122,81
1747,147,653
1748,112,239
1749,124,253
1750,140,45
1751,114,40
1752,88,35
1753,148,113
1754,132,707
1755,114,147
1756,100,298
1757,125,1857
1758,144,1665
1759,157,1049
1760,152,1063
1761,128,170
1762,136,450
1763,153,118
1764,134,769
1765,145,86
1766,147,722
1767,144,709
1768,138,654
1769,142,648
1770,144,176
1771,110,149
1772,102,293
1773,328,547
1774,459,624
1775,445,532
1776,324,764
1777,309,501
1778,318,885
1779,386,523
1780,324,723
1781,315,1210
1782,338,196
1783,312,1800
1784,326,810
1785,324,999
1786,323,223
1787,336,712
1788,311,1142
1789,335,1550
1790,350,531
1791,324,1136
1792,319,471
1793,332,1218
1794,364,195
1795,311,706
1796,314,662
1797,313,611
1798,332,583
1799,351,527
1800,312,1441
1801,375,401
1802,330,1277
1803,315,497
1804,324,521
1805,335,521
1806,339,714
1807,349,505
1808,308,4484
1809,318,527
1810,371,542
1811,329,526
1812,144,2063
1813,208,500
1814,101,531
1815,139,2066
1816,108,472
1817,133,428
1818,145,145
1819,128,1895
1820,134,1191
1821,140,602
1822,135,320
1823,137,461
1824,120,99
1825,142,357
1826,92,83
1827,139,285
1828,144,487
1829,126,282
1830,117,153
1831,98,2512
1832,99,2934
1833,128,94
1834,150,4906
1835,150,1186
1836,123,870
1837,116,391
1838,136,371
1839,132,166
1840,134,15
1841,99,105
1842,140,2257
1843,133,133
1844,132,132
1845,97,97
1846,120,86
1847,128,128
1848,134,447
1849,123,82
1850,140,87
1851,99,90
1852,138,169
1853,104,825
1854,133,819
1855,139,436
1856,139,406
1857,101,19
1858,130,414
1859,140,290
1860,139,790
1861,136,1140
1862,144,146
1863,125,164
1864,152,1263
1865,131,1215
1866,95,24
1867,166,21
1868,89,954
1869,99,77
1870,112,104
1871,90,78
1872,102,47
1873,110,106
1874,88,106
1875,118,31
1876,89,53
1877,101,27
1878,147,64
1879,120,34
1880,104,29
1881,148,27
1882,120,381
1883,134,532
1884,137,998
1885,145,88
1886,150,156
1887,148,462
1888,112,22
1889,136,657
1890,139,26
1891,168,163
1892,146,862
1893,176,1919
1894,134,1119
1895,141,336
1896,132,2093
1897,133,1133
1898,134,2041
1899,147,238
1900,159,427
1901,110,2005
1902,141,428
1903,146,1589
1904,140,160
1905,146,740
1906,147,1841
1907,138,1921
1908,161,442
1909,139,463
1910,109,1530
1911,134,358
1912,140,298
1913,141,2777
1914,136,1060
1915,154,392
1916,155,619
1917,144,421
1918,140,646
1919,134,1122
1920,171,514
1921,151,336
1922,141,1787
1923,146,286
1924,155,152
1925,115,356
1926,144,286
1927,150,214
1928,134,76
1929,106,237
1930,138,114
1931,128,292
1932,151,1331
1933,102,469
1934,153,170
1935,139,139
1936,125,99
1937,98,97
1938,99,210
1939,137,191
1940,135,135
1941,134,468
1942,99,186
1943,159,159
1944,113,137
1945,101,819
1946,185,67
1947,124,71
1948,118,54
1949,155,196
1950,139,70
1951,143,69
1952,151,139
1953,123,560
1954,137,1318
1955,167,167
1956,131,131
1957,143,143
1958,132,816
1959,162,1041
1960,182,718
1961,138,1067
1962,156,1543
1963,135,3677
1964,150,150
1965,140,3562
1966,111,517
1967,133,725
1968,131,535
1969,133,299
1970,143,2379
1971,149,94
1972,132,166
1973,144,607
1974,141,141
1975,135,850
1976,146,775
1977,150,201
1978,146,681
1979,160,170
1980,157,183
1981,148,148
1982,145,97
1983,143,3581
1984,144,144
1985,136,283
1986,142,607
1987,149,298
1988,142,322
1989,126,375
1990,145,1498
1991,149,92
1992,152,244
1993,152,351
1994,141,116
1995,124,120
1996,152,1490
1997,162,162
1998,139,124
1999,147,187
2000,164,624
2001,138,1389
2002,135,260
2003,141,119
2004,152,948
2005,130,956
2006,131,8803
2007,127,2453
2008,138,4477
2009,96,1247
2010,113,1702
2011,114,461
2012,135,2291
2013,142,221
2014,145,228
2015,117,325
2016,137,636
2017,91,178
2018,134,5053
2019,128,113
2020,144,298
2021,147,492
2022,132,931
2023,140,3712
2024,139,380
2025,134,94
2026,141,139
2027,130,102
2028,137,66
2029,169,488
2030,156,443
2031,236,4843
2032,179,4584
2033,164,361
2034,176,436
2035,178,370
2036,165,418
2037,174,415
2038,164,473
2039,163,471
2040,170,250
2041,176,302
2042,175,252
2043,176,186
2044,185,303
2045,168,288
2046,174,279
2047,159,467
2048,190,1155
2049,174,174
2050,163,163
2051,176,36
2052,681,639
2053,161,630
2054,163,1353
2055,169,451
2056,190,2380
2057,172,772
2058,179,866
2059,163,1241
2060,171,940
2061,168,917
2062,162,462
2063,169,2438
2064,163,2442
2065,183,920
2066,172,455
2067,180,2626
2068,174,2451
2069,182,507
2070,174,537
2071,167,461
2072,173,618
2073,169,580
2074,174,491
2075,166,594
2076,173,968
2077,173,535
